17:51:45   Default
28102021 2.MessungPatient2
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
32710;25.3904;21.8204;
32781;25.6939;22.8226;
32849;25.9063;23.6681;
32926;26.1365;25.0934;
32993;26.3598;26.4838;
33066;26.4828;28.0108;
33139;26.796;29.3629;
33215;27.0355;30.7613;
33286;27.4417;31.9037;
33362;27.8564;32.7733;
33433;28.3122;33.7691;
33514;28.7944;34.8643;
33585;29.1131;36.041;
33654;29.5518;37.1035;
33723;29.7572;38.2033;
33799;29.9547;39.5246;
33874;30.2019;40.5729;
33946;30.3383;41.4801;
34016;30.5765;41.3101;
34088;30.8087;39.5095;
34166;30.9705;37.3265;
34236;30.8511;36.1057;
34306;30.4754;35.1477;
34377;30.256;33.6022;
34451;29.9245;32.307;
34524;29.6195;31.422;
34598;29.3545;29.6017;
34676;29.1027;28.5642;
34746;28.8668;27.6904;
34819;28.6162;26.8524;
34891;28.1601;26.0742;
34967;27.6773;25.6878;
35041;27.3718;24.7583;
35113;27.2293;23.6461;
35188;27.0368;22.9646;
35256;26.9491;22.1087;
35326;26.6701;21.7304;
35399;26.5395;21.1111;
35472;26.4386;20.7371;
35545;26.2878;20.4928;
35617;26.1583;20.1185;
35690;26.1124;20.022;
35762;26.0785;19.9916;
35840;26.0266;19.991;
35905;25.9786;20.2741;
35986;25.9244;21.0317;
36054;25.878;22.3026;
36127;25.9872;22.8455;
36207;26.3816;23.3673;
36274;26.7268;23.8894;
36351;27.1593;24.3685;
36419;27.7037;25.2232;
36492;28.058;26.2283;
36573;28.5562;26.9442;
36638;28.9701;27.6926;
36710;29.5342;28.5824;
36793;29.9485;29.4261;
36856;30.3141;30.3845;
36930;30.7018;31.4125;
37002;31.0933;32.4178;
37083;31.7685;32.8531;
37153;32.2129;33.7944;
37226;32.5645;34.8736;
37292;32.7658;35.8735;
37366;32.9922;37.0238;
37448;33.3059;38.0748;
37513;33.5402;38.5;
37589;33.6692;39.1458;
37653;33.8141;38.8549;
37733;33.7288;38.3442;
37804;33.5062;38.4124;
37878;33.2609;38.1586;
37956;32.7842;37.082;
38025;32.525;35.8466;
38094;32.2596;34.5371;
38167;32.0313;33.4056;
38244;31.7877;32.2426;
38311;31.3157;31.3926;
38387;30.9689;30.592;
38459;30.6977;29.5774;
38530;30.3195;28.9053;
38607;30.0209;28.1753;
38677;29.6612;27.5848;
38757;29.1946;26.7896;
38825;29.0665;26.0085;
38895;28.7038;25.4862;
38973;28.3183;24.9727;
39049;28.0748;24.1815;
39120;27.8926;23.3128;
39194;27.8164;22.4704;
39267;27.6939;21.7129;
39335;27.3708;21.4233;
39412;27.3731;21.0699;
39491;27.187;20.9621;
39552;27.2701;21.0364;
39622;27.4577;21.0953;
39699;27.6272;21.6166;
