16:55:14   Default
2021_11_23_Patient29
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
137923;65.7559;70.7016;
137997;65.9395;71.5325;
138071;66.1378;72.3583;
138142;66.3458;73.2479;
138221;66.4488;74.0521;
138288;66.6304;74.5934;
138360;66.6692;75.0909;
138434;66.9272;75.6306;
138505;66.8335;76.0993;
138580;66.8564;76.6485;
138650;67.1088;76.5119;
138731;67.1301;76.042;
138796;67.2584;75.0461;
138869;67.146;74.3152;
138944;67.1165;73.5153;
139017;67.089;72.6909;
139090;67.0057;72.0711;
139170;66.8767;71.3019;
139234;66.8743;70.303;
139310;66.8227;69.5162;
139387;66.6924;68.6258;
139454;66.5508;68.1057;
139528;66.364;67.9065;
139600;66.3528;66.8442;
139672;66.2688;66.2548;
139745;66.2263;65.4643;
139819;66.0742;65.1131;
139890;65.9862;64.6999;
139966;65.9183;64.437;
140046;65.7966;64.2524;
140114;65.8291;64.1728;
140186;65.7762;64.0313;
140260;65.768;63.9421;
140329;65.744;63.8364;
140398;65.6441;63.8123;
140475;65.5924;64.0763;
140549;65.5276;64.321;
140618;65.5349;64.0503;
140698;65.6335;64.0053;
140767;65.7198;63.6229;
140841;65.5536;63.5263;
140915;65.7096;63.4042;
140983;65.6387;63.421;
141056;65.6752;63.3972;
141134;65.6489;63.3392;
141203;65.6118;63.326;
141281;65.6312;63.3902;
141350;65.6153;63.3437;
141421;65.5464;63.4992;
141495;65.436;64.0631;
141565;65.5335;63.9826;
141638;65.4416;64.9145;
141712;65.6276;65.5602;
141791;65.6301;66.3817;
141861;65.7539;66.9926;
141933;65.8784;67.6699;
142010;65.9459;68.2182;
142080;66.053;68.666;
142149;66.1326;69.1947;
142222;66.1608;69.9276;
142298;66.3019;70.6722;
142367;66.2087;71.3582;
142443;66.1701;72.3458;
142512;66.2875;72.8681;
142586;66.4343;73.5372;
142660;66.4859;74.1865;
142732;66.5006;74.8922;
142803;66.6803;75.1716;
142880;66.877;75.4116;
142952;66.8186;75.6974;
143025;67.0051;75.8871;
143097;66.9928;74.916;
143169;67.1981;73.5685;
143242;67.3192;72.537;
143317;67.1758;71.3061;
143391;66.8628;70.843;
143465;66.8445;69.7587;
143535;66.7669;68.5826;
143606;66.7018;67.6297;
143681;66.4972;66.6696;
143754;66.3969;66.0787;
143825;66.28;65.6246;
143896;66.209;65.2131;
143972;66.1043;64.9877;
144042;66.1173;64.6583;
144121;65.8948;64.4108;
144195;65.9627;64.2032;
144269;65.8619;63.9994;
144335;65.7733;63.8964;
144409;65.5169;64.214;
144480;65.5757;64.0709;
144554;65.4537;63.988;
144627;65.5379;63.9813;
144701;65.6298;63.5453;
144776;65.5201;63.5592;
144850;65.513;63.4709;
144920;65.5686;63.4679;
144993;65.5087;63.6449;
145060;65.4709;63.7168;
145143;65.5478;63.731;
145211;65.5644;63.8563;
145286;65.4954;64.1891;
145356;65.3415;64.6708;
