16:45:02   Default
2021_11_30_Andi
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
101491;66.6718;80.824;
101560;66.6531;81.2868;
101634;66.8177;81.4481;
101707;67.03;81.3253;
101785;67.0391;80.6345;
101858;67.0868;79.601;
101928;67.3241;78.4057;
102002;67.4128;76.9061;
102074;67.1242;75.5852;
102148;66.9796;75.0278;
102221;66.8592;74.3045;
102292;66.632;73.0198;
102364;66.6805;72.3216;
102438;66.881;71.7263;
102511;66.9254;71.6253;
102585;66.9947;71.5008;
102656;67.0072;71.5842;
102727;66.9817;71.4309;
102799;66.9169;71.4357;
102875;67.0432;71.5102;
102946;66.9277;71.6252;
103023;66.7818;71.3463;
103096;66.7704;71.0893;
103165;66.6448;71.3404;
103237;66.5183;71.0271;
103315;66.6475;70.3856;
103385;66.5555;70.2754;
103461;66.2597;69.2321;
103533;66.0254;68.7014;
103603;65.8994;68.2245;
103676;65.7646;67.6878;
103753;65.6185;67.206;
103823;65.46;66.8859;
103896;65.469;66.5843;
103970;65.2962;66.3348;
104040;65.2914;66.2188;
104113;65.0935;66.1333;
104186;65.0208;66.2216;
104260;64.978;66.4733;
104332;65.0446;66.333;
104402;64.897;66.0273;
104477;65.0677;65.9481;
104553;65.0274;66.1448;
104626;65.038;66.4199;
104699;65.0538;66.7871;
104769;65.0994;67.2974;
104842;65.0015;68.2241;
104914;64.9099;69.018;
104990;65.0577;70.0235;
105060;65.2441;70.9379;
105132;65.2056;71.7229;
105212;65.23;72.6806;
105282;65.3055;73.4824;
105351;65.391;74.5749;
105422;65.3435;75.1279;
105495;65.4632;75.8318;
105569;65.5804;76.3308;
105645;65.7086;76.7486;
105718;65.8788;77.1552;
105790;66.1104;77.6372;
105866;66.3306;78.1066;
105937;66.3616;78.6829;
106007;66.5116;79.0352;
106082;66.5713;79.1799;
106154;66.6843;79.2359;
106231;66.6283;79.2042;
106309;66.5804;79.1349;
106383;66.4518;79.3206;
106448;66.4091;78.9278;
106522;66.4818;78.6074;
106591;66.5376;78.4881;
106660;66.548;78.3763;
106738;66.4984;78.6679;
106809;66.57;79.5074;
106882;66.7285;79.7023;
106955;66.9115;80.0802;
107030;67.245;80.4997;
107101;67.035;81.0087;
107172;66.8022;81.0854;
107247;66.8206;80.6658;
107318;66.7027;79.5202;
107387;66.6886;78.608;
107463;66.7537;77.0025;
107541;66.5919;75.8267;
107610;66.4578;75.0383;
107684;66.3382;74.2962;
107755;66.1587;73.4355;
107828;66.1279;72.5836;
107901;65.9818;71.9046;
107979;65.813;71.3193;
108047;65.6201;70.6649;
108126;65.5522;69.9738;
108195;65.4811;69.5276;
108266;65.4443;69.2358;
108338;65.2893;68.8022;
108412;65.0596;68.6792;
108484;65.0856;67.9951;
108559;65.0205;67.3845;
108628;65.0961;67.121;
108698;64.9906;66.6933;
108773;64.8663;66.4771;
108847;64.8022;66.2799;
108922;64.8046;66.1198;
108996;64.8401;66.0542;
109065;64.8063;66.0015;
109140;64.689;65.9458;
109220;64.7318;66.0067;
109290;64.6709;66.0779;
109367;64.6801;66.1689;
109436;64.5772;66.6027;
109507;64.5461;66.3861;
109572;64.6094;66.2055;
109656;64.6927;66.1275;
109726;64.5376;66.0121;
109796;64.6462;66.2321;
109869;64.6213;66.3229;
109940;64.7397;66.4757;
110016;64.6307;66.7933;
110090;64.5751;67.2043;
110159;64.6421;67.7575;
110230;64.5837;68.4088;
110306;64.7347;69.1748;
110380;64.8761;69.9225;
110452;64.7296;70.7771;
110526;64.7338;71.5194;
110599;64.8286;71.8323;
110672;64.9208;72.6739;
110745;65.1385;73.0878;
110815;65.0807;73.7179;
110887;65.2538;74.3761;
110959;65.603;75.0644;
111034;65.6467;75.7053;
111102;65.7314;76.2396;
111179;65.8434;76.9134;
111251;65.8594;77.5345;
111323;66.0581;78.2049;
111397;66.2524;78.7203;
111468;66.2793;79.3681;
111546;66.265;80.0078;
111621;66.4487;80.2421;
111691;66.5451;80.6716;
111767;66.7201;81.1147;
111836;66.7452;81.3381;
111909;66.9905;81.645;
111980;67.0389;81.8615;
112052;67.1857;82.1701;
112125;67.2272;82.3518;
112196;67.3687;82.5241;
112275;67.3257;82.6642;
112345;67.4673;82.5285;
112422;67.5589;81.9216;
112488;67.4916;81.012;
112567;67.5452;79.9621;
112639;67.5741;78.9598;
112711;67.5193;77.9814;
112781;67.3188;77.1994;
112854;67.1339;76.6081;
112924;67.1165;75.7314;
112997;66.9289;75.0245;
113074;66.8509;74.4051;
113146;66.7608;73.7978;
113221;66.6235;73.1649;
113289;66.4516;72.6996;
113372;66.4394;72.0684;
113444;66.162;71.3537;
113512;65.9932;70.9025;
113587;65.8664;70.3509;
113655;65.8695;69.1694;
113729;65.7137;68.5919;
113803;65.6348;67.9068;
113874;65.4552;67.5079;
113945;65.3856;67.1063;
114020;65.3109;66.9245;
114091;65.2247;66.6802;
114169;65.1503;66.4482;
114241;65.1385;66.3378;
114311;64.9459;66.2298;
114386;65.0912;66.1949;
114459;65.0308;66.1264;
114531;64.7436;66.3336;
114604;64.778;66.5676;
114676;64.6994;66.1153;
114748;64.7613;66.0444;
114824;64.8885;65.7722;
114894;64.8441;65.7833;
114966;64.7426;65.5884;
115041;64.7992;65.5545;
115111;64.8321;65.5737;
115185;64.798;65.5475;
115262;64.8057;65.5977;
115334;64.786;65.6672;
115402;64.6865;65.828;
115475;64.7481;65.872;
115551;64.6017;66.2087;
115622;64.6085;66.5791;
115698;64.654;66.4471;
115768;64.6308;67.0922;
115840;64.7915;67.1604;
115921;64.8311;67.761;
115991;64.9763;68.3742;
116061;65.2626;68.9052;
116133;65.294;69.6958;
116206;65.5357;70.1095;
116279;65.4851;70.7763;
116352;65.5319;71.5223;
116427;65.5589;72.1672;
116498;65.678;72.7893;
116573;65.7758;73.3589;
116647;65.6349;74.1246;
116716;65.8249;74.4144;
116791;65.8782;74.6205;
116860;66.0649;75.0222;
116932;66.0691;75.3457;
117015;66.154;75.7403;
117082;66.2776;76.0935;
117154;66.4188;76.6604;
117227;66.4536;77.0676;
117295;66.5293;77.2541;
117374;66.5412;77.5764;
117448;66.5892;78.1309;
117517;66.652;78.5319;
117590;66.7084;79.1739;
117665;66.5479;79.5036;
117741;66.6293;79.5206;
117808;66.7321;79.3686;
117876;66.7837;79.4726;
117963;66.6565;79.5215;
118031;66.812;79.7192;
118102;66.8176;79.666;
118170;66.7942;79.8504;
118246;66.8727;80.0459;
118326;66.9057;80.1639;
118397;66.882;80.0941;
118466;66.8929;80.175;
118535;66.9177;80.2092;
118611;66.8913;79.8371;
118682;66.8204;78.9626;
118754;66.8893;77.6989;
118826;66.8919;76.5156;
118901;67.0451;75.7163;
118972;66.8098;74.6337;
119049;66.7254;74.041;
119119;66.7318;73.2381;
119193;66.5743;72.7003;
119266;66.436;72.1336;
119340;66.392;71.4824;
119409;66.1033;71.012;
119483;66.1836;70.4402;
119555;65.9624;70.0074;
119630;66.0348;69.629;
119702;65.8423;69.4922;
119781;65.6274;69.12;
119851;65.6148;68.2345;
119921;65.6264;67.7962;
119992;65.6384;67.2747;
120070;65.3974;67.0379;
120139;65.457;66.7318;
120210;65.3301;66.4746;
120284;65.3089;66.3499;
120360;65.1831;66.1534;
120430;65.2915;66.0664;
120505;65.1014;66.0232;
120576;65.0367;66.0522;
120649;65.0587;65.9753;
120720;65.0105;65.8788;
120797;64.9064;66.0237;
120868;64.7625;66.1622;
120939;64.8067;65.8863;
121013;64.7709;65.8434;
121085;64.9404;65.5972;
121161;64.7743;65.5437;
121234;64.8599;65.543;
121301;64.8966;65.5923;
121380;64.9494;65.6688;
121455;64.7893;65.5766;
121524;64.8633;65.6446;
121598;64.8971;65.6645;
121670;64.8608;65.8033;
121741;64.9001;65.7388;
121816;64.8708;65.7371;
121891;64.7072;65.9596;
121960;64.7923;66.0104;
122031;64.9466;65.5995;
122105;64.8307;65.5117;
122179;64.7918;65.4673;
122256;64.8517;65.3092;
122322;64.7936;65.2878;
122397;64.8337;65.3483;
122470;64.8127;65.2967;
122543;64.671;65.2877;
122616;64.7546;65.4123;
122690;64.8549;65.4924;
122763;64.7949;65.5683;
122831;64.8271;65.6427;
122907;64.7446;65.6174;
122983;64.6793;65.8675;
123051;64.7166;65.9341;
123126;64.7167;65.455;
123200;64.7143;65.5111;
123271;64.7152;65.4232;
123343;64.7876;65.3197;
123416;64.7338;65.219;
123492;64.7416;65.2968;
123562;64.6661;65.2343;
123637;64.852;65.2439;
123709;64.7334;65.2607;
123783;64.7801;65.4805;
123856;64.7707;65.7104;
123926;64.5694;66.1823;
123999;64.787;66.7975;
124072;64.6899;67.6038;
124143;64.6495;68.2168;
124217;64.5945;69.0135;
124290;64.6351;69.2811;
124363;64.8544;70.056;
124438;64.9391;70.6069;
124512;65.0416;71.129;
124584;65.2396;71.7938;
124652;65.4223;72.5324;
124729;65.4665;73.2329;
124800;65.4201;73.7146;
124876;65.4967;74.2193;
124951;65.7326;74.8276;
125021;65.7531;75.3726;
125100;65.7267;75.9672;
125173;65.8926;76.4211;
125237;65.9222;76.9193;
125309;65.938;76.9925;
125389;66.1512;77.2863;
