Time (ms); Pri Amplitude (mm)
1126;159.2473
2006;159.4698
2098;159.5877
2183;159.4135
2273;159.3816
2362;159.3706
2452;159.1836
2542;159.2854
2632;159.3951
2721;159.4413
2811;159.7857
2901;160.1063
2990;160.2451
3080;160.1651
3170;160.3326
3260;160.5158
3350;160.4845
3440;160.6214
3529;160.7382
3619;160.487
3709;160.4955
3799;160.6886
3888;160.5982
3978;160.3402
4068;160.3332
4157;160.2577
4248;160.2127
4336;160.0053
4425;159.8874
4516;159.6816
4605;159.6656
4695;159.5997
4785;159.6471
4874;159.5305
4964;159.6604
5054;159.6927
5143;159.8761
5234;160.0943
5323;160.4367
5412;160.5564
5502;160.4982
5592;160.3446
5682;160.4688
5771;160.5171
5862;160.3158
5951;160.0752
6041;160.1484
6131;159.827
6221;159.6226
6311;159.6057
6402;159.4388
6491;159.3513
6580;159.2233
6671;159.4219
6760;159.4585
6850;159.3202
6940;159.3437
7029;159.3683
7119;159.333
7209;159.2274
7298;159.1792
7388;159.0887
7478;159.22
7567;159.1732
7659;159.2059
7748;159.4244
7837;159.296
7927;159.4773
8017;159.5703
8106;159.6267
8196;159.8393
8287;160.0056
8375;160.1456
8465;160.0751
8556;160.2624
8645;160.0983
8735;159.9941
8828;159.7554
8923;159.7644
9014;159.7389
9103;159.6459
9195;159.5689
9282;159.5697
9372;159.3335
9462;159.1594
9552;159.2749
9642;159.379
9729;159.4574
9822;159.4695
9907;159.3132
10000;159.4798
10091;159.2577
10177;159.2167
10269;159.1772
10362;159.1722
10451;159.1472
10539;159.424
10626;159.4126
10711;159.2221
10807;159.3383
10902;159.4276
10988;159.4641
11077;159.6614
11165;160.175
11254;160.2334
11343;160.0864
11434;160.139
11521;160.1541
11617;160.1972
11705;159.8621
11798;159.8722
11884;159.7855
11975;159.7183
12061;159.6191
12153;159.5544
12244;159.5688
12330;159.2878
12425;159.3898
12520;159.2215
12601;159.265
12694;159.1612
12784;159.1094
12868;159.0739
12963;159.06
13055;159.1642
13141;159.0821
13237;158.8193
13324;159.1852
13411;159.0161
13504;159.1197
13593;159.1976
13678;159.394
13769;159.552
13859;159.5894
13950;159.783
14037;159.9433
14129;160.036
14213;159.9353
14307;159.923
14394;160.0258
14488;159.8194
14577;159.6765
14666;159.7233
14756;159.5975
15707;159.338
15802;159.2128
15879;159.1208
15972;159.0947
16064;159.0553
16149;159.0751
16242;159.0303
16330;159.0003
16419;159.0251
16512;158.9321
16603;158.9867
16684;159.0445
16779;159.2796
16868;159.4066
16953;159.6602
17047;159.8973
17138;159.8736
17226;159.8915
17318;160.0279
17406;159.9392
17497;159.7335
17588;159.6745
17678;159.6386
17764;159.3004
17862;159.2686
17952;159.5908
18034;159.838
