Time (ms); Pri Amplitude (mm)
11709;154.8387
11794;155.2113
11880;155.5775
11965;155.7129
12053;155.8123
12131;155.9347
12215;155.9673
13145;155.3506
13218;155.4419
13303;155.3259
13392;155.2995
13471;155.1302
13560;155.1392
13644;154.973
13723;155.15
13816;154.979
13900;154.9912
13974;154.9566
14061;154.817
14145;154.79
14227;154.6324
14316;154.5924
14407;154.5498
14484;154.4358
14573;154.4296
14657;154.3502
14738;154.3483
14822;154.4194
14907;154.4813
14989;154.5829
15075;154.7401
15158;154.8796
15242;154.894
15329;155.0477
15411;155.2555
