Time (ms); Pri Amplitude (mm)
23314;117.8941
23404;117.8334
23485;117.7244
23571;117.6133
23659;117.4156
23752;117.2074
23834;117.0607
23925;116.7487
24012;116.5626
24094;116.4069
24183;116.413
24275;116.5187
24357;116.7032
24443;116.9669
24529;117.1892
24619;117.436
24704;117.5903
24796;117.5716
24883;117.5293
24968;117.7733
25062;117.8604
25141;118.0302
25226;118.0831
25315;118.3612
25403;118.5147
25492;118.7023
25575;118.8967
25662;118.8279
25750;118.64
25836;118.537
25926;118.5302
26018;118.5741
26099;118.4869
26186;118.1967
26279;118.0821
26362;117.8903
26444;117.6896
26538;117.4819
26618;117.3822
26706;116.9206
26796;116.7695
26881;116.728
26969;116.7303
27055;116.5339
27145;116.3542
27230;116.2855
27319;116.2337
27401;116.1636
27488;116.1651
27580;116.3407
27665;116.2001
27751;116.4379
27840;116.6544
27923;116.9409
28009;116.9367
28098;117.2168
28191;117.424
28275;117.542
28363;117.7578
28447;117.8611
28535;117.7841
28625;117.9302
28712;118.1469
28795;118.2569
28887;118.3892
28975;118.5663
29060;118.7516
29145;118.9742
29233;119.1548
29327;119.2974
29409;119.2074
29492;119.1984
29579;119.298
29666;119.4598
29752;119.4625
29839;119.3729
29928;119.4443
30013;119.3661
30102;119.2808
30192;119.1936
30279;119.0966
30366;118.8178
30454;118.6175
30537;118.4792
30632;118.3912
30713;118.3052
30797;117.9965
30888;117.905
30974;117.7105
31067;117.589
31146;117.5011
31239;117.2921
31321;117.2023
31407;116.9186
31500;116.9758
31581;116.9027
31668;116.9515
31754;116.7988
31843;116.7927
31929;116.7211
32015;116.7114
32105;116.6714
32193;116.558
32278;116.6204
32367;116.5028
32458;116.6679
32538;116.7669
32629;116.9242
32717;117.0565
32804;117.2902
32892;117.5363
32973;117.6628
33064;117.915
33149;117.9651
33248;117.9388
33330;118.2225
33406;118.3703
33500;118.5903
33583;118.6387
33670;118.8414
33758;118.9162
33847;119.0495
33930;119.2809
34021;119.3438
34108;119.257
34193;119.248
34279;119.3005
34367;119.3765
34459;119.29
34544;119.278
34630;119.4205
34714;119.2682
34811;119.2073
34892;119.0817
34987;118.9109
35064;118.5317
35158;118.4709
35235;118.3346
35326;118.1686
35410;117.7643
35498;117.6094
35581;117.4265
35669;117.3325
35756;117.2175
35854;117.1214
35932;116.9002
36020;116.6965
36108;116.7309
36194;116.8174
36279;116.8657
36366;116.7144
36458;116.8704
36542;116.9472
36627;117.2166
36712;117.2777
36797;117.3836
36889;117.4614
36974;117.6359
37065;117.7897
37154;117.8596
37241;117.992
37323;118.0677
37410;118.2299
37498;118.3286
37588;118.5329
37671;118.5816
37758;118.5675
37846;118.6377
37938;118.6533
38022;119.0153
38107;119.0611
38189;119.0972
38277;119.2254
38371;119.2158
38457;119.2839
38545;119.3218
38628;119.2888
38720;119.1419
38804;118.9117
38890;118.8778
38977;118.8571
39062;118.656
39147;118.5788
39247;118.2837
39328;118.0664
39406;118.0149
39496;117.9583
39582;117.6606
39670;117.5469
39763;117.2682
39842;117.2006
39940;117.1004
40018;116.9781
40103;116.8154
40196;116.8305
40285;116.7888
40368;116.8051
40456;116.817
40546;116.7376
40625;116.7033
40727;116.5488
40800;116.5136
40895;116.4485
40977;116.5062
41067;116.4176
41151;116.4761
41238;116.5084
41326;116.7749
41410;116.7563
41505;116.9471
41592;117.0327
41678;117.0465
41766;117.147
41855;117.4803
41943;117.4668
42025;117.5908
42113;117.8435
42200;117.9333
42293;118.0563
42382;118.1824
42458;118.1581
42545;118.3479
42642;118.2874
