Time (ms); Pri Amplitude (mm)
1094;150.8413
1937;151.5413
2013;151.4639
2081;151.2294
2154;151.2472
2231;151.1824
2299;151.0986
2372;150.8931
2445;150.8847
2519;150.8553
2590;150.6449
2664;150.621
2736;150.5411
2810;150.5431
2882;150.4979
2955;150.3283
3028;150.3457
3101;150.3331
3173;150.2501
3246;150.2915
3319;150.2558
3391;150.1678
3465;150.239
3538;150.2296
3610;150.2397
3683;150.2239
3758;150.3208
3829;150.3674
3902;150.3309
3975;150.5648
4048;150.6246
4121;150.7362
4195;150.8926
4266;150.9725
4339;151.0164
4413;151.0408
4485;151.0573
4558;150.9784
4631;150.9144
4704;150.8115
4776;150.6762
4853;150.6654
4925;150.443
4994;150.3868
5068;150.3212
5141;150.2644
5213;150.2801
5286;150.1913
5359;150.1682
5431;150.1598
5508;150.1875
5578;150.0874
5650;150.0773
5725;149.9731
5794;150.0144
5867;149.98
5944;149.9661
6013;150.0625
6087;150.0631
6160;150.0965
6232;150.1142
6306;150.2382
6383;150.3185
6451;150.3403
6524;150.5303
6598;150.6192
6670;150.6582
6743;150.7672
6817;150.9131
6888;151.0636
6961;151.1188
7037;151.2205
7108;151.124
7179;151.0783
7253;151.0446
7325;150.9738
7398;150.8382
7474;150.7431
7544;150.6497
7616;150.512
7689;150.41
7761;150.319
7834;150.3705
7911;150.1597
7980;150.2205
8053;150.1646
8125;150.0785
8198;150.1216
8272;150.1514
8345;150.091
8417;150.1056
8490;149.9586
8564;150.0288
8636;149.969
8708;149.9409
8782;149.9608
8861;150.0171
8936;150.0528
9007;150.1184
9081;150.2653
9152;150.3333
9229;150.3558
9304;150.5134
9373;150.6178
9445;150.7289
9519;150.8795
9594;150.9828
9666;151.1335
9735;151.2308
9807;151.3759
9880;151.3693
9960;151.2905
10031;151.2642
10101;151.1456
10175;151.0939
10248;151.0203
10321;150.8545
10391;150.8544
10471;150.7054
10539;150.6084
10611;150.3873
10686;150.4059
10762;150.3605
10836;150.2504
10905;150.3042
10973;150.2436
11046;150.191
11123;150.2147
11195;150.1645
11266;150.0616
11345;150.144
11412;150.1086
11484;150.0794
11559;150.0732
11629;150.0872
11705;150.0958
11775;150.0623
11849;150.1392
11922;150.1219
11995;150.105
12070;150.2519
12140;150.2208
12219;150.3687
12287;150.4993
12358;150.5815
12432;150.718
12510;150.8974
12579;151.0351
12651;151.1357
12722;151.2347
12798;151.2445
12868;151.233
12942;151.2309
13017;151.1824
13091;151.0774
13157;150.9456
13233;150.9057
13306;150.8389
13381;150.7597
13455;150.6606
13528;150.5471
13597;150.4155
13669;150.3844
