17:52:25   Default
03112021Patient8
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
76610;23.0944;29.405;
76674;22.8602;29.2601;
76753;22.9409;29.2048;
76817;22.9902;29.0736;
76895;23.1415;29.255;
76967;22.9398;29.6361;
77044;23.0771;29.9371;
77112;23.1;30.323;
77183;23.2536;30.7229;
77257;23.1323;31.1668;
77325;23.1562;31.895;
77403;23.082;32.2426;
77477;23.1987;32.7567;
77553;23.2927;33.2839;
77621;23.3299;33.8538;
77693;23.6241;34.2789;
77767;23.7792;34.8965;
77840;23.9575;35.5458;
77911;24.0263;36.0945;
77983;24.2433;36.6375;
78060;24.2768;37.1774;
78132;24.1994;38.0272;
78204;24.2081;38.3792;
78279;24.2392;38.8571;
78353;24.4072;39.4145;
78426;24.4897;39.8996;
78495;24.7198;40.3436;
78568;24.7435;40.9164;
78640;24.8837;41.3351;
78714;24.9239;41.7121;
78787;25.047;42.0883;
78861;24.9511;42.5581;
78935;24.8357;43.0349;
79008;24.7624;43.0091;
79084;25.1283;43.2377;
79157;24.9581;43.1684;
79224;24.924;42.7505;
79296;25.0242;42.2289;
79367;25.0308;41.8113;
79447;25.0582;41.4047;
79518;24.9706;40.8994;
79587;25.0078;40.4523;
79668;24.8545;39.9767;
79733;24.9062;39.637;
79805;24.8754;38.6777;
79879;24.8388;37.9301;
79957;24.8353;37.2625;
80028;24.7959;36.7174;
80097;24.7209;36.1038;
80170;24.817;35.3767;
80245;24.7768;34.7839;
80319;24.5899;34.3019;
80392;24.6898;33.8883;
80463;24.4071;33.4192;
80539;24.2552;32.9719;
80616;24.2428;32.5575;
80686;24.1898;31.9466;
80751;24.0851;31.5656;
80832;24.0365;31.1206;
80901;24.0645;30.9715;
80976;23.8753;30.6826;
81045;23.7034;30.5716;
81120;23.8208;30.3802;
81195;23.8025;30.1194;
81261;23.633;29.8373;
81339;23.5215;29.8487;
81415;23.3799;29.831;
81490;23.3437;29.3498;
81563;23.2155;29.2717;
81630;23.3058;28.96;
81702;23.3377;28.9837;
81773;23.3292;28.7818;
81845;23.2848;28.6401;
81913;23.3343;28.5157;
81993;23.3442;28.391;
82063;23.2166;28.3537;
82135;23.2285;28.3163;
82208;23.1879;28.6026;
82281;23.1606;28.4568;
82356;23.0486;28.3463;
82432;22.9967;28.2488;
82505;23.1213;28.3846;
82575;22.9826;28.4396;
82647;23.1219;28.564;
82723;23.1502;28.7758;
82797;23.1009;29.0711;
82868;23.094;29.2948;
83750;23.805;34.4281;
83816;23.808;35.0619;
83891;23.7223;35.6856;
83970;23.7887;35.9658;
84043;23.8443;36.3354;
84114;23.8937;36.5905;
84188;23.9799;37.0912;
84259;24.1268;37.4085;
84328;24.2585;37.9937;
84400;24.4302;38.5549;
84473;24.2954;39.0911;
84548;24.454;39.8361;
84622;24.4451;40.2749;
84695;24.3641;40.6837;
84764;24.374;40.9525;
84838;24.3384;41.2508;
84914;24.3575;41.6514;
84983;24.3844;41.9807;
85054;24.7169;42.4332;
85133;24.7948;42.7927;
85203;24.8059;43.1882;
85272;24.7772;43.5932;
85348;24.9371;43.7972;
85419;25.005;43.4854;
85492;24.933;42.7779;
85565;24.9467;42.2424;
85641;24.8889;41.4042;
85712;24.7705;40.8527;
85782;24.8525;40.2857;
85858;24.7962;39.9401;
85932;24.5804;39.4192;
86004;24.7972;38.9078;
86075;24.6885;38.2591;
86150;24.7673;37.7829;
86221;24.776;37.1292;
86298;24.6503;36.53;
86376;24.5817;36.1431;
86443;24.4356;35.7836;
86513;24.292;35.0241;
86586;24.2322;34.5895;
86660;24.2025;34.0563;
86731;24.1652;33.579;
86807;24.2009;33.0635;
86877;24.3275;32.6018;
86950;24.2827;32.2426;
87026;24.2004;31.7636;
87097;24.1731;31.2637;
87170;24.1149;30.819;
87246;23.9401;30.6696;
87311;23.9566;30.4313;
87387;23.639;29.8201;
87462;23.7077;29.5423;
87533;23.5732;29.2801;
87605;23.6244;29.2169;
87677;23.7096;28.9435;
87750;23.709;28.8739;
87824;23.6058;28.699;
87898;23.5119;28.5263;
87972;23.5581;28.3906;
88043;23.4768;28.3948;
88117;23.4001;28.4422;
88188;23.2647;28.0425;
88261;23.2839;27.888;
88330;23.3629;27.6303;
88405;23.3483;27.5253;
88480;23.3099;27.4159;
88548;23.3641;27.3106;
88625;23.3852;27.2812;
88698;23.3742;27.216;
88771;23.3147;27.3124;
88843;23.1887;27.2736;
88917;23.2962;27.5881;
88990;23.177;27.6318;
89068;23.0462;27.5637;
89136;23.1088;27.7229;
89211;23.0887;28.0001;
89284;23.274;28.3181;
89354;23.374;28.4942;
89429;23.3625;28.842;
89502;23.4172;29.2025;
89573;23.2729;29.6405;
89646;23.4114;30.0362;
89721;23.4661;30.363;
89794;23.4214;31.026;
89864;23.2084;31.1887;
89936;23.339;31.8327;
90009;23.4296;32.1898;
90083;23.4544;32.8503;
90159;23.4399;33.2828;
90229;23.6665;33.8765;
90304;23.6592;34.3362;
90377;23.7173;34.8461;
90452;23.8912;35.4972;
90517;23.9416;35.8729;
90593;23.6807;36.538;
90668;23.6878;36.7327;
90739;23.8341;36.987;
90814;23.9805;37.2771;
90883;24.2581;37.5828;
90959;24.4347;37.7943;
91037;24.6299;38.1178;
91106;24.8017;38.7572;
91175;24.709;39.4628;
91249;24.7339;40.0359;
91322;24.5734;40.701;
91394;24.8196;41.4244;
91471;24.5953;41.8237;
91547;24.7172;41.9108;
91614;24.6621;42.4861;
91685;24.8415;42.6928;
91759;24.914;43.1245;
91832;24.8656;42.9777;
91903;25.1279;42.448;
91978;25.0403;41.9237;
92050;25.1223;41.5147;
92120;25.128;40.7548;
92198;25.1144;40.0828;
92269;24.9752;39.4167;
92341;24.9712;38.3551;
92416;24.7798;37.9237;
92490;24.8515;37.3709;
92562;24.8058;36.8677;
92637;24.9075;36.4774;
92705;24.8086;36.0469;
92783;24.7524;35.61;
92852;24.6421;35.1122;
92925;24.7513;34.7056;
92996;24.7372;34.1393;
93071;24.5689;33.739;
93147;24.5279;33.319;
93220;24.2395;32.6877;
93290;24.436;32.3974;
93360;24.1619;31.955;
93429;24.4468;31.7147;
93504;24.3456;31.2673;
93582;24.3646;30.9152;
93659;24.2384;30.531;
93724;24.2517;30.1076;
93797;24.2406;29.8064;
93872;24.0864;29.5515;
93941;24.087;29.4484;
94016;23.6629;29.0836;
94090;23.6699;28.6423;
94160;23.8887;28.3694;
94232;23.89;28.002;
