Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
118670;16.391;18.8286;
119539;16.971;23.8018;
119615;17.0918;23.4851;
119685;17.1495;22.8059;
119761;17.1389;21.814;
119832;17.0938;20.932;
119906;17.0566;19.7234;
119978;17.1297;18.9304;
120051;16.9715;18.1751;
120127;16.948;17.3639;
120195;16.7839;16.7132;
120274;16.7865;16.0795;
120345;16.6947;15.6254;
120421;16.5202;15.0413;
120489;16.4852;14.4829;
120560;16.4425;13.9665;
120633;16.4191;13.3863;
120708;16.2977;12.9324;
120781;16.1159;12.5685;
120855;15.9515;12.5392;
120932;15.8271;12.3827;
121001;15.8316;11.9194;
121077;15.8312;11.7288;
121149;15.9044;11.3434;
121214;15.8033;11.1712;
121285;15.7732;10.9244;
121364;15.7814;10.9644;
121435;15.7273;10.8983;
121510;15.793;10.8148;
121580;15.6579;10.9055;
121653;15.8066;10.983;
121724;15.6719;11.0232;
121803;15.6711;11.0291;
121872;15.6896;11.1222;
121949;15.61;11.5279;
122021;15.6451;11.8001;
122091;15.6284;11.8663;
122168;15.626;12.137;
122242;15.73;12.6186;
122312;15.7423;13.2004;
122381;15.815;13.7445;
122457;15.9259;14.2939;
122527;15.9148;14.7914;
122602;16.0124;15.2546;
122675;16.0811;15.6655;
122747;16.0594;16.1419;
122828;16.1745;16.6635;
122897;16.2656;17.0503;
122967;16.2465;17.6615;
123043;16.2294;18.0901;
123111;16.2768;18.303;
123181;16.3951;18.7537;
123257;16.5198;19.2304;
123335;16.4209;19.6588;
123405;16.5445;20.0448;
123474;16.6508;20.5544;
123548;16.6833;20.9648;
123627;16.7618;21.2878;
123696;16.8747;21.5952;
123769;16.932;21.8438;
123840;16.8994;22.2009;
123914;16.8231;22.5886;
123986;16.7635;22.8612;
124064;16.8878;22.8848;
124135;16.8845;23.0434;
124203;17.0126;22.8168;
124273;16.9436;22.0525;
124356;17.0253;20.9582;
124423;17.1732;19.9954;
124497;17.1342;19.2912;
124571;17.0001;18.4955;
124642;16.9366;17.8744;
124716;16.8535;17.2464;
124784;16.8261;16.7286;
124859;16.6987;16.1775;
124933;16.5445;15.954;
125003;16.3414;15.7632;
125080;16.3218;15.0686;
125151;16.3907;14.5584;
125231;16.2572;14.0951;
125296;16.2311;13.6553;
125374;16.1192;13.2792;
125441;16.1386;13.0293;
125512;16.1121;12.7884;
125591;16.0156;12.5007;
125661;15.9334;12.3114;
125737;15.9291;12.1147;
125807;15.8433;11.9794;
125879;15.816;11.8518;
125956;15.7414;11.9279;
126025;15.6922;12.2275;
126097;15.6327;11.9867;
126170;15.6935;11.9546;
126244;15.7074;11.7516;
126321;15.738;11.7282;
126392;15.7348;11.7427;
126465;15.7995;11.7626;
126534;15.7821;11.9601;
126606;15.8087;12.0486;
126679;15.7458;12.0325;
126754;15.7682;12.0472;
126832;15.7804;12.0896;
126900;15.8072;11.9788;
126970;15.681;12.2241;
127045;15.5412;12.3295;
127116;15.5591;11.8766;
127190;15.7111;11.9621;
127262;15.7193;12.1498;
127343;15.659;12.6683;
127411;15.6861;13.0939;
127484;15.7602;13.5503;
127553;15.8259;14.1621;
127628;15.8763;14.8131;
127699;15.9858;15.2984;
127770;15.9969;15.9481;
127845;16.0933;16.4647;
127920;16.1067;17.2436;
127992;16.0241;17.7432;
128073;16.1436;18.2484;
128143;16.2447;18.7187;
128211;16.4195;19.0553;
128284;16.4349;19.601;
128357;16.5601;20.107;
128434;16.6091;20.775;
128506;16.6194;21.282;
128576;16.6673;21.9067;
128647;16.7637;22.3662;
128720;16.8532;22.6771;
128794;16.9176;23.1027;
128875;16.8875;23.6644;
128938;16.9167;24.0227;
129009;16.8608;24.24;
129090;17.027;24.7456;
129165;17.0225;25.0741;
129231;17.1009;25.1797;
129303;17.1737;25.256;
129379;17.1704;25.0915;
129447;17.2142;24.6878;
129524;17.2512;23.975;
129594;17.3683;23.0997;
129667;17.4192;22.1168;
129742;17.3078;21.3195;
129812;17.2392;20.599;
129885;17.0695;20.1151;
129963;17.0294;19.0945;
130032;17.002;18.4532;
130104;17.0298;17.7075;
130177;16.9255;17.0114;
130245;16.7928;16.5172;
130326;16.7048;16.0199;
130396;16.6578;15.6225;
130471;16.6069;15.2086;
130543;16.5801;14.7124;
130610;16.5069;14.335;
130683;16.4135;13.9639;
130762;16.3575;13.6806;
130832;16.3512;13.353;
130913;16.1741;13.2107;
130982;16.0279;13.3396;
131053;16.0916;12.7106;
131125;15.9941;12.6232;
131198;16.0883;12.3237;
131269;16.0137;12.0215;
131344;16.0211;11.8526;
131417;15.9414;11.683;
131493;15.9659;11.6375;
131558;15.9127;11.4915;
131633;15.9204;11.452;
131707;15.8519;11.4133;
131776;15.8758;11.3298;
131859;15.8982;11.3084;
131927;15.8539;11.2844;
132002;15.7708;11.6648;
132078;15.6903;11.7287;
