Time (ms); Pri Amplitude (mm)
11573;56.563
11645;56.4233
11723;56.4216
11796;56.3193
11861;56.2452
11943;56.0101
12011;55.9697
12083;55.7401
12159;55.5946
12229;55.5129
12298;55.2163
12376;55.0114
12446;54.8481
12518;54.3094
12594;53.9742
12669;53.8169
12741;53.6637
12811;53.6165
12880;53.5724
12951;53.5168
13027;53.373
13100;53.4086
13178;53.4609
13249;53.4466
13318;53.4424
13392;53.3392
13466;53.2977
13542;53.243
13612;53.294
13683;53.5114
13760;53.6514
13829;53.9886
13903;54.2801
13975;54.5526
14047;55.1448
14120;55.1965
14195;55.5389
14267;55.6475
14340;55.8164
14412;55.9237
14486;55.9069
14558;56.2295
14631;56.2142
14705;56.3286
14782;56.3977
14852;56.4453
